24 S 1354	
538698.4214	8562556.101
538698.3984	8562556.062
538514.6458	8562247.81
538378.4802	8562017.71
538300.7693	8561885.375
538300.671	8561885.209
538151.7277	8561636.084
538000.5019	8561382.214
537866.3146	8561156.557
537753.7547	8560965.116
537705.559	8560882.264
537705.4477	8560882.074
537530.3075	8560587.114
537428.1298	8560413.79
537427.9847	8560413.547
537372.5536	8560321.955
537371.9643	8560321.029
537371.4808	8560320.332
537337.1844	8560272.663
537336.734	8560272.057
537335.7687	8560270.877
537283.8938	8560211.34
537283.842	8560211.281
537282.7461	8560210.11
537282.52	8560209.887
537227.8407	8560156.608
537226.8966	8560155.735
537225.6714	8560154.729
537134.8437	8560084.929
537134.8295	8560084.918
537133.7318	8560084.123
537003.4442	8559995.148
536891.4114	8559917.792
536891.3806	8559917.771
536768.4277	8559833.153
536563.2796	8559691.788
536563.2302	8559691.754
536380.041	8559566.18
536380.0184	8559566.165
536197.836	8559441.581
536197.6393	8559441.448
536097.8603	8559374.625
536097.8388	8559374.611
536096.8029	8559373.955
536015.589	8559325.382
536015.2634	8559325.191
536014.0073	8559324.513
535929.4739	8559282.067
535929.3161	8559281.989
535927.8557	8559281.327
535927.308	8559281.108
535809.9453	8559235.774
535684.3563	8559186.507
535622.0035	8559159.878
535621.7566	8559159.774
535620.9764	8559159.466
535564.2834	8559138.226
535503.446	8559109.572
535446.4451	8559074.235
535401.6226	8559041.097
535346.4463	8558992.23
535250.6814	8558901.971
535250.5606	8558901.858
535227.3323	8558880.259
535155.705	8558813.658
535155.1758	8558813.18
535153.9365	8558812.163
535153.693	8558811.979
535034.6603	8558722.977
535033.6006	8558722.228
535032.7407	8558721.679
534948.4403	8558670.294
534947.9387	8558669.997
534946.8601	8558669.41
534870.9635	8558630.525
534773.8491	8558573.703
534773.7263	8558573.632
534772.8277	8558573.138
534665.3982	8558516.971
534425.6199	8558387.085
534237.8024	8558285.148
534046.2129	8558181.082
534046.1772	8558181.063
533968.7643	8558139.181
533968.7332	8558139.164
533854.9297	8558077.805
533625.3606	8557953.493
533625.1295	8557953.369
533557.7157	8557917.792
533517.1399	8557895.245
533469.865	8557862.013
533433.8955	8557828.409
533399.0836	8557787.168
533379.984	8557760.178
533329.6066	8557683.579
533329.5078	8557683.43
533329.3728	8557683.23
533301.535	8557642.443
533268.3165	8557593.085
533268.2754	8557593.024
533229.3591	8557535.574
533163.9822	8557438.841
533163.9079	8557438.732
533125.0159	8557381.85
533089.095	8557329.182
533088.2915	8557328.072
533087.9033	8557327.579
533058.163	8557290.81
533057.5342	8557290.063
533056.4382	8557288.893
533055.287	8557287.814
533029.4904	8557265.144
533029.4715	8557265.127
533028.2322	8557264.11
533026.929	8557263.177
533026.473	8557262.879
533004.9754	8557249.196
533004.0699	8557248.647
533002.656	8557247.891
533002.2289	8557247.685
532978.3871	8557236.496
532977.3539	8557236.04
532977.1079	8557235.939
532944.5379	8557222.86
532802.7171	8557163.568
532685.0308	8557113.965
532684.9088	8557113.914
532565.9356	8557064.523
532511.8622	8557041.894
532511.8223	8557041.877
532337.9443	8556969.472
532239.9143	8556928.441
532239.8307	8556928.407
532239.8146	8556928.4
532170.6215	8556899.797
532007.5465	8556831.513
531905.9866	8556788.828
531905.9218	8556788.801
531773.271	8556733.496
531629.4621	8556673.441
531629.4075	8556673.418
531494.8674	8556617.614
531272.6121	8556524.821
531136.0055	8556467.657
531135.9692	8556467.642
531027.2526	8556422.354
530920.0599	8556377.576
530840.9622	8556343.539
530762.76	8556298.45
530669.744	8556229.722
530610.271	8556185.21
530569.8427	8556154.552
530569.8313	8556154.544
530486.7806	8556091.641
530394.0159	8556021.242
530393.7244	8556021.024
530353.5981	8555991.501
530311.307	8555959.511
530310.1958	8555958.718
530243.3328	8555913.766
530243.275	8555913.727
530241.9135	8555912.881
530241.131	8555912.448
530189.54	8555885.122
530188.9086	8555884.799
530188.8296	8555884.76
530143.515	8555862.616
530143.4923	8555862.605
530020.7005	8555802.754
530020.6205	8555802.715
529933.597	8555760.689
529858.1751	8555723.342
529858.1394	8555723.325
529858.0584	8555723.285
529791.1474	8555690.594
529759.6736	8555675.176
529734.8694	8555662.892
529734.8483	8555662.881
529655.0775	8555623.472
529655.0618	8555623.464
529654.5534	8555623.22
