24 S 1354	
522900.8976	8557565.756
522902.4794	8557565.495
522904.0408	8557565.131
522905.575	8557564.665
522907.0754	8557564.101
522908.5358	8557563.439
522909.9497	8557562.683
522911.3112	8557561.837
522912.6144	8557560.903
522913.624	8557560.085
523124.1641	8557380.015
523124.2204	8557379.967
523181.3798	8557330.779
523229.2973	8557290.352
523229.3568	8557290.302
523310.1867	8557221.666
523310.2725	8557221.593
523450.5311	8557101.377
523589.9037	8556982.53
523590.0041	8556982.444
523646.1441	8556934.046
523787.6372	8556812.824
523959.3288	8556667.666
523959.3909	8556667.614
524164.2414	8556493.25
524256.5784	8556415.535
524256.8499	8556415.303
524406.4399	8556285.629
524406.5436	8556285.538
524575.7806	8556137.16
524605.8143	8556111.46
524668.7147	8556057.961
524728.3788	8556007.348
524728.4729	8556007.268
524784.8718	8555958.933
524827.154	8555922.728
524827.1669	8555922.717
524892.8643	8555866.383
524892.8693	8555866.379
524938.0341	8555827.63
524982.971	8555791.537
525030.7883	8555758.594
525120.9803	8555710.576
525176.1205	8555689.798
525246.0465	8555664.636
525322.317	8555640.392
525400.3393	8555617.547
525400.4222	8555617.523
525425.7796	8555610.001
525483.2235	8555593.883
525525.9695	8555585.837
525569.4699	8555583.101
525613.4323	8555584.665
525647.85	8555590.666
525668.6202	8555597.733
525699.621	8555612.308
525754.2761	8555639.235
525791.0195	8555659.183
525791.5048	8555659.439
525848.3996	8555688.696
525848.7303	8555688.863
525887.2465	8555707.938
525887.2837	8555707.957
525887.353	8555707.991
525937.2614	8555732.408
525938.6525	8555733.035
525938.8647	8555733.122
525997.3113	8555756.693
525998.5097	8555757.14
526064.0376	8555779.668
526064.1274	8555779.698
526065.0713	8555779.998
526122.8567	8555797.042
526122.9179	8555797.06
526267.7958	8555839.385
526396.3571	8555877.472
526396.4681	8555877.505
526541.7481	8555919.801
526541.7835	8555919.811
526586.6184	8555932.791
526587.0903	8555932.922
526588.3636	8555933.227
526619.4994	8555939.81
526619.7875	8555939.869
526621.3693	8555940.13
526621.7807	8555940.181
526656.3848	8555944.142
526657.5689	8555944.249
526659.1713	8555944.301
526659.751	8555944.282
526660.9515	8555944.4
526662.5539	8555944.453
526663.15	8555944.446
526709.0382	8555943.329
526710.0445	8555943.284
526711.6223	8555943.129
526735.5393	8555939.998
526735.557	8555939.995
526737.0457	8555939.753
526767.9636	8555933.727
526768.0567	8555933.709
526769.6181	8555933.345
526771.1523	8555932.879
526772.6527	8555932.315
526773.2729	8555932.048
526818.3308	8555911.912
526819.171	8555911.517
526819.6875	8555911.255
526894.7361	8555872.012
527015.8473	8555809.515
527141.7765	8555758.762
527236.6433	8555730.647
527357.2207	8555694.989
527525.016	8555650.411
527525.0664	8555650.398
527525.5049	8555650.276
527641.7473	8555616.802
527758.9521	8555586.28
527759.1121	8555586.238
527823.9408	8555568.887
527862.6221	8555561.163
527915.9097	8555556.175
527954.4973	8555553.192
527998.1125	8555555.255
528044.9611	8555559.816
528079.5222	8555563.499
528149.7951	8555571.351
528240.2844	8555582.04
528240.4228	8555582.056
528328.6332	8555591.969
528328.8262	8555591.99
528356.6522	8555594.893
528394.2956	8555598.971
528394.5441	8555598.997
528430.1257	8555602.484
528430.9131	8555602.548
528431.1279	8555602.561
528475.4788	8555605.077
528476.5566	8555605.115
528512.5633	8555605.57
528512.8731	8555605.572
528513.1769	8555605.57
528571.5566	8555604.846
528572.5462	8555604.814
528611.8071	8555602.738
528612.1161	8555602.72
528612.9961	8555602.646
528677.8113	8555596.045
528678.2689	8555595.994
528761.1483	8555585.976
528761.3339	8555585.953
528874.797	8555571.359
528946.0563	8555562.47
528946.1142	8555562.463
529019.1691	8555553.173
529102.3913	8555542.93
529102.5962	8555542.903
529102.6404	8555542.898
529147.1968	8555536.949
529192.817	8555531.36
529247.5988	8555525.719
529275.1799	8555524.088
529299.036	8555524.783
529340.9334	8555531.888
529356.5901	8555537.85
529359.3035	8555546.015
529362.7066	8555553.918
529366.7743	8555561.5
529371.4767	8555568.705
529376.7793	8555575.481
529382.643	8555581.778
529389.0247	8555587.549
529395.8774	8555592.752
529403.1508	8555597.349
529410.7913	8555601.305
529418.7427	8555604.593
529426.9465	8555607.187
529435.3425	8555609.068
529443.8688	8555610.223
529452.4627	8555610.643
529461.0609	8555610.325
529469.6003	8555609.272
529478.0181	8555607.49
529486.2522	8555604.994
529494.2422	8555601.802
529516.6288	8555613.126
529516.8513	8555613.237
529517.3597	8555613.48
529633.6367	8555667.533
529713.1447	8555706.813
529737.9673	8555719.106
529738.0041	8555719.124
529738.0622	8555719.152
529769.6004	8555734.602
529769.6233	8555734.613
529836.4896	8555767.282
529911.9687	8555804.658
529912.0044	8555804.675
529912.1861	8555804.764
529999.2909	8555846.829
530122.0122	8555906.645
530166.9573	8555928.61
530217.0605	8555955.147
530282.2908	8555999.001
530324.1625	8556030.675
530324.4236	8556030.87
530364.5379	8556060.384
530457.1773	8556130.688
530457.1958	8556130.702
530540.2465	8556193.605
530580.7258	8556224.301
530580.8491	8556224.394
530640.448	8556269
530640.5691	8556269.09
530734.759	8556338.685
530735.7069	8556339.351
530737.0684	8556340.198
530737.0808	8556340.205
530817.7264	8556386.703
530819.1279	8556387.452
530820.2797	8556387.983
530900.8033	8556422.634
530901.0441	8556422.736
531008.3746	8556467.571
531008.3969	8556467.581
531117.0905	8556512.859
531253.7154	8556570.031
531253.7337	8556570.039
531475.989	8556662.831
531476.0416	8556662.853
531610.5985	8556718.664
531754.4018	8556778.717
531754.415	8556778.723
531887.0258	8556834.011
531988.5853	8556876.696
531988.6153	8556876.708
532151.7407	8556945.013
532151.8278	8556945.05
532151.8439	8556945.056
532221.0511	8556973.665
532319.0657	8557014.689
532319.1068	8557014.706
532492.9859	8557087.112
532547.0687	8557109.745
532547.1331	8557109.772
532666.055	8557159.141
532783.7026	8557208.728
532783.768	8557208.755
532925.8006	8557268.137
532925.8751	8557268.168
532926.1211	8557268.268
532958.201	8557281.15
532979.9894	8557291.376
532998.5657	8557303.2
533021.376	8557323.245
533049.1769	8557357.617
533084.5491	8557409.481
533084.5652	8557409.504
533123.4158	8557466.325
533188.776	8557563.033
533188.7905	8557563.055
533227.6997	8557620.495
533260.9284	8557669.867
533261.0178	8557669.999
533288.7816	8557710.678
533339.2744	8557787.453
533339.3732	8557787.602
533339.7452	8557788.143
533359.6889	8557816.326
533360.2508	8557817.088
533360.9662	8557817.977
533397.388	8557861.124
533397.6896	8557861.475
533398.7856	8557862.645
533399.3842	8557863.224
533437.6579	8557898.981
533438.2294	8557899.498
533439.4687	8557900.515
533440.2941	8557901.122
